"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"8600000US89010","ZCTA5 89010","172","44","14.5","12.0","0.0","15.9","14.5","10.6","20.9","10.3","16.3","9.9","18.6","13.2","2.3","3.5","12.8","9.8","0.0","15.9","0.0","15.9","35000","12562","45226","10369","32.6","(X)","(X)","(X)","(X)","(X)","111","38","10.8","13.4","5.4","8.4","2.7","4.0","23.4","14.2","16.2","13.5","18.0","13.8","3.6","5.4","19.8","15.1","0.0","23.4","0.0","23.4","40750","15841","52959","14523","(X)","(X)","35.1","(X)","(X)","(X)","84","32","0.0","29.2","0.0","29.2","3.6","5.2","25.0","17.3","21.4","17.3","19.0","16.0","4.8","7.3","26.2","18.9","0.0","29.2","0.0","29.2","48750","19482","N","N","(X)","(X)","(X)","(X)","(X)","(X)","61","31","21.3","22.7","0.0","36.3","26.2","20.8","16.4","18.7","16.4","15.6","19.7","24.0","0.0","36.3","0.0","36.3","0.0","36.3","0.0","36.3","28250","16533","30674","10680","(X)","(X)","(X)","(X)","27.9","(X)"
"8600000US89019","ZCTA5 89019","914","269","0.0","3.2","7.5","7.7","27.8","15.2","13.8","12.2","19.9","18.9","9.7","8.3","9.5","9.9","7.2","8.1","4.5","7.4","0.0","3.2","37632","10735","49179","13376","50.2","(X)","(X)","(X)","(X)","(X)","509","247","0.0","5.7","1.0","1.8","5.9","11.0","20.8","21.6","27.3","32.1","16.3","16.6","10.0","13.7","10.6","14.4","8.1","13.6","0.0","5.7","39541","35526","64061","22401","(X)","(X)","62.9","(X)","(X)","(X)","308","157","0.0","9.3","0.0","9.3","9.7","15.7","18.2","24.5","0.0","9.3","24.7","23.9","16.6","22.1","17.5","21.3","13.3","20.9","0.0","9.3","72778","30365","N","N","(X)","(X)","(X)","(X)","(X)","(X)","405","142","0.0","7.1","17.0","16.2","54.1","22.7","7.4","5.2","8.1","11.4","1.5","2.3","8.9","14.2","3.0","4.6","0.0","7.1","0.0","7.1","21318","5780","29987","9446","(X)","(X)","(X)","(X)","31.9","(X)"
"8600000US89060","ZCTA5 89060","4076","353","6.4","2.7","8.4","3.7","17.1","5.1","11.4","4.2","21.9","5.2","16.5","4.3","8.7","3.9","7.7","3.6","0.5","0.9","1.5","1.2","40726","3291","52416","7574","35.4","(X)","(X)","(X)","(X)","(X)","2533","280","6.8","3.8","5.4","3.2","10.1","5.5","8.8","4.0","25.6","6.7","18.8","6.0","12.2","5.2","9.6","4.8","0.9","1.5","1.8","2.1","45493","5007","57314","7189","(X)","(X)","38.8","(X)","(X)","(X)","2007","274","4.3","3.4","2.4","2.4","8.5","5.4","7.4","3.9","28.9","7.9","21.6","7.1","11.4","5.4","12.1","5.9","1.1","1.9","2.3","2.6","48872","14552","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1543","303","10.6","5.8","15.9","8.0","23.5","8.7","13.2","7.2","15.7","6.9","15.4","8.0","3.9","5.8","0.8","1.3","0.0","1.9","1.0","1.6","24986","5129","41715","18821","(X)","(X)","(X)","(X)","28.9","(X)"
"8600000US89061","ZCTA5 89061","2123","235","2.5","2.4","5.7","3.9","7.2","3.5","14.2","6.6","13.3","5.1","24.2","8.1","11.4","4.8","11.2","6.1","8.1","6.1","2.4","2.5","55096","9069","70373","9299","34.0","(X)","(X)","(X)","(X)","(X)","1453","210","1.5","2.5","4.1","3.8","6.2","5.3","10.7","7.5","12.9","6.1","28.0","8.8","14.6","6.3","12.9","7.1","5.6","4.7","3.5","3.6","62139","13992","75895","11609","(X)","(X)","40.3","(X)","(X)","(X)","1261","210","0.0","2.3","4.8","4.3","4.8","3.9","12.3","8.4","13.8","6.9","30.9","9.6","14.4","6.5","13.6","7.7","1.4","2.4","4.0","4.2","61361","12253","N","N","(X)","(X)","(X)","(X)","(X)","(X)","670","211","4.6","5.5","9.0","10.1","9.3","7.9","21.9","11.8","14.2","10.0","16.0","14.1","4.3","5.9","7.5","11.4","13.3","14.4","0.0","4.4","41765","18185","57568","19172","(X)","(X)","(X)","(X)","20.3","(X)"
"8600000US89439","ZCTA5 89439","745","97","4.6","6.6","4.6","5.0","3.6","4.3","12.1","8.1","17.6","11.3","19.9","11.6","18.5","14.1","6.4","6.1","0.4","0.9","12.3","7.5","59275","17162","122256","30093","23.1","(X)","(X)","(X)","(X)","(X)","505","114","0.0","5.8","3.4","5.4","5.3","6.2","6.5","8.0","11.9","10.5","20.4","11.1","24.2","18.8","9.5","9.0","0.6","1.3","18.2","11.2","82839","26217","162428","43521","(X)","(X)","22.8","(X)","(X)","(X)","436","113","0.0","6.6","0.0","6.6","4.1","6.4","7.6","9.3","5.0","7.9","22.5","12.7","28.0","20.7","11.0","10.4","0.7","1.5","21.1","13.2","84635","25071","N","N","(X)","(X)","(X)","(X)","(X)","(X)","240","116","14.2","20.9","7.1","11.7","0.0","11.7","23.8","20.5","29.6","28.3","18.8","26.6","6.7","11.6","0.0","11.7","0.0","11.7","0.0","11.7","39375","10729","37372","11935","(X)","(X)","(X)","(X)","23.8","(X)"
"8600000US90001","ZCTA5 90001","13325","291","10.2","1.6","9.6","1.9","15.9","2.0","16.4","2.3","17.4","1.9","15.4","1.8","8.4","1.4","5.4","1.1","1.0","0.5","0.4","0.3","34050","1069","43105","1734","46.8","(X)","(X)","(X)","(X)","(X)","11284","369","10.4","1.8","9.5","2.0","17.6","2.0","14.9","2.4","16.8","2.2","15.8","1.9","8.2","1.5","5.6","1.2","0.9","0.5","0.4","0.3","33583","1375","42698","1969","(X)","(X)","45.6","(X)","(X)","(X)","5557","331","5.4","1.6","7.2","2.3","13.1","2.4","14.4","2.6","20.7","3.4","18.1","2.5","9.7","2.4","9.1","2.0","1.7","1.0","0.6","0.5","40324","3035","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2041","277","21.5","5.5","18.9","5.2","16.0","5.8","16.2","5.7","12.3","4.2","8.6","3.9","4.8","2.4","1.0","1.5","0.4","0.6","0.4","0.6","21052","2442","29563","4254","(X)","(X)","(X)","(X)","38.3","(X)"
"8600000US90002","ZCTA5 90002","11888","312","13.7","2.1","12.5","1.8","15.9","2.2","12.3","2.1","16.3","2.2","15.0","2.1","7.8","1.4","5.0","1.2","1.0","0.5","0.4","0.3","30214","2859","40149","1813","45.0","(X)","(X)","(X)","(X)","(X)","9741","339","13.0","2.2","9.1","1.8","16.7","2.5","12.9","2.2","17.8","2.7","15.7","2.5","8.4","1.7","5.2","1.4","1.0","0.5","0.4","0.3","33372","3021","41750","1903","(X)","(X)","42.4","(X)","(X)","(X)","4586","350","4.7","1.9","5.9","2.0","16.5","3.4","14.2","3.1","18.0","4.0","21.7","3.7","11.4","3.2","5.5","1.7","1.5","1.1","0.7","0.6","41034","2600","49862","2977","(X)","(X)","(X)","(X)","(X)","(X)","2147","242","24.8","5.5","30.4","5.6","15.3","4.7","10.3","3.6","9.8","3.4","4.8","2.3","3.6","2.7","0.4","0.7","0.5","0.8","0.0","1.6","12917","1989","21889","2854","(X)","(X)","(X)","(X)","46.2","(X)"
"8600000US90003","ZCTA5 90003","15891","330","13.5","1.5","11.2","1.5","18.4","1.8","13.1","1.9","16.5","1.6","16.2","1.8","6.3","1.0","4.2","0.8","0.4","0.3","0.2","0.2","30016","1594","37946","1312","41.9","(X)","(X)","(X)","(X)","(X)","12753","412","15.2","1.8","7.8","1.5","17.5","2.0","14.6","2.1","17.1","1.8","17.2","2.0","6.0","1.1","3.7","0.9","0.5","0.4","0.2","0.2","30933","1425","37950","1438","(X)","(X)","40.0","(X)","(X)","(X)","5577","381","2.8","1.3","6.8","1.9","14.0","2.5","17.8","3.2","22.0","3.2","21.2","3.3","8.9","2.0","5.0","1.6","1.1","0.8","0.4","0.5","38848","1879","47750","2491","(X)","(X)","(X)","(X)","(X)","(X)","3138","270","23.6","4.0","23.6","4.5","20.1","4.0","9.8","3.1","11.1","3.2","7.6","2.8","2.2","1.4","1.9","1.4","0.0","1.1","0.0","1.1","16139","2024","24422","2403","(X)","(X)","(X)","(X)","35.5","(X)"
"8600000US90004","ZCTA5 90004","22765","371","7.7","1.1","7.5","1.0","16.0","1.6","14.9","1.3","15.2","1.6","14.2","1.3","7.5","1.0","7.4","1.1","3.8","0.7","5.9","0.8","38493","2107","70614","3283","28.3","(X)","(X)","(X)","(X)","(X)","13456","473","5.6","1.3","5.4","1.2","17.6","2.2","15.5","1.9","16.2","1.9","14.0","1.9","7.1","1.3","7.2","1.4","3.7","0.9","7.6","1.1","40625","1830","79831","4933","(X)","(X)","31.8","(X)","(X)","(X)","8393","425","1.9","0.9","3.8","1.3","13.0","2.3","16.1","2.5","16.5","2.3","14.6","2.5","8.9","1.7","9.7","2.0","4.7","1.4","10.9","1.6","48651","2984","100874","6947","(X)","(X)","(X)","(X)","(X)","(X)","9309","480","12.7","2.1","11.0","2.0","16.0","2.2","13.9","2.1","13.4","2.1","12.8","2.1","6.3","1.4","6.9","1.6","3.7","1.4","3.2","1.1","31732","2713","53515","4194","(X)","(X)","(X)","(X)","20.8","(X)"
