Zip,median_income,mean_income
89010,35000,45226
89019,37632,49179
89060,40726,52416
89061,55096,70373
89439,59275,122256
90001,34050,43105
90002,30214,40149
90003,30016,37946
90004,38493,70614
90005,31214,45746
90006,31403,38571
90007,22646,34786
90008,36180,54676
90010,47308,71900
90011,29889,38184
90012,29492,50578
90013,21120,46275
90014,17134,45048
90015,28953,57542
90016,38050,52565
90017,21009,41525
90018,32104,45033
90019,43244,68070
90020,37121,58386
90021,12748,34130
90022,39051,47740
90023,37082,44611
90024,59125,120091
90025,71278,96182
90026,46435,66991
90027,50316,76505
90028,31742,46269
90029,35253,46402
90031,34656,49579
90032,45208,57413
90033,27190,38191
90034,56743,75959
90035,75327,107746
90036,71049,96905
90037,26638,36300
90038,33850,52194
90039,67170,92533
90040,44531,53003
90041,64545,86376
90042,51427,65518
90043,38738,61891
90044,28344,39651
90045,78082,105127
90046,56337,97400
90047,40528,52939
90048,72913,113377
90049,116732,205686
90056,76688,124785
90057,26940,35464
90058,15988,25663
90059,33678,44318
90061,34566,42597
90062,32067,42231
90063,39206,47620
90064,86573,132820
90065,52794,75491
90066,68346,94927
90067,89500,197433
90068,73373,126162
90069,78607,132782
90077,172443,277066
90089,10625,10560
90094,96010,135984
90201,37013,45078
90210,138750,296809
90211,69942,111936
90212,84516,139654
90220,45474,54991
90221,42753,52984
90222,40056,47370
90230,73786,97441
90232,71316,100937
90240,71939,93374
90241,56059,70741
90242,57095,67871
90245,84004,105321
90247,42968,56677
90248,51956,67133
90249,50996,71028
90250,45766,60157
90254,105029,154587
90255,35985,45976
90260,51769,63516
90262,42057,52829
90265,124814,217124
90266,142071,204794
90270,36450,46262
90272,157938,289114
90274,156250,220301
90275,120742,149317
90277,99398,125718
90278,104934,123439
90280,43526,53782
90290,106750,149419
90291,81025,124459
90292,103319,135833
90293,84588,118181
90301,37813,47170
90302,41187,56911
90303,40807,54446
90304,36778,46978
90305,62558,80812
90401,60802,88564
90402,131607,238528
90403,72366,106866
90404,65035,81474
90405,78756,110496
90501,59878,77631
90502,62533,74521
90503,77047,94468
90504,75180,87783
90505,82313,99336
90601,70841,86573
90602,47622,65044
90603,87251,100025
90604,65640,76592
90605,66706,83460
90606,63833,72771
90620,80278,89099
90621,56219,75431
90623,83767,103356
90630,84051,100155
90631,66553,87155
90638,79858,95230
90640,47436,62754
90650,60523,71355
90660,56607,66651
90670,51935,68537
90680,47796,61612
90701,60544,73512
90703,90613,111018
90704,55882,83987
90706,49360,63116
90710,54630,70423
90712,78175,88597
90713,87095,97830
90715,64701,76740
90716,39055,47394
90717,56245,70464
90720,95631,122321
90723,43784,52353
90731,49786,67014
90732,84537,98492
90740,53677,88484
90742,88971,145600
90743,106458,135684
90744,41578,55904
90745,71757,80960
90746,75031,86989
