,CDSCode,Zip,median_income,mean_income,County,Distrinct,School Name,District Type,School Type,Low Grade,High Grade,Enrollment (K-12),Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),AvgScrRead,AvgScrMath,AvgScrWrite,FreeLunch,ReducedLunch,FullLunch
0,01612340130054,94560.0,86521,98373,Alameda,,Newark Memorial High,Unified School District,High Schools (Public),9,12,1850.0,1850.0,703.0,0.38,838.0,0.452972972972973,486.0,498.0,487.0,0.38,0.072972972972973,0.547027027027027
1,01100170112607,94612.0,30879,50381,Alameda,,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),9,12,395.0,395.0,186.0,0.470886075949367,186.0,0.470886075949367,397.0,387.0,395.0,0.470886075949367,0.0,0.5291139240506331
2,01611190106401,94501.0,70935,94830,Alameda,,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,9,12,170.0,170.0,39.0,0.229411764705882,52.0,0.305882352941176,562.0,590.0,555.0,0.229411764705882,0.07647058823529398,0.694117647058824
3,01611190130229,94501.0,70935,94830,Alameda,,Alameda High,Unified School District,High Schools (Public),9,12,1746.0,1746.0,320.0,0.183276059564719,396.0,0.22680412371134,543.0,573.0,543.0,0.183276059564719,0.043528064146621,0.7731958762886599
4,01611190132878,94501.0,70935,94830,Alameda,,Encinal High,Unified School District,High Schools (Public),9,12,1052.0,1052.0,371.0,0.352661596958175,447.0,0.42490494296578,483.0,504.0,476.0,0.352661596958175,0.07224334600760501,0.5750950570342199
5,01611190130625,94621.0,30528,40552,Alameda,,Alternatives in Action,Unified School District,High Schools (Public),9,12,161.0,161.0,123.0,0.763975155279503,148.0,0.919254658385093,352.0,350.0,343.0,0.763975155279503,0.15527950310559002,0.08074534161490698
6,01612590108944,94621.0,30528,40552,Alameda,,Lighthouse Community Charter High,Unified School District,High Schools (Public),9,12,262.0,262.0,194.0,0.740458015267176,220.0,0.83969465648855,432.0,483.0,447.0,0.740458015267176,0.09923664122137399,0.16030534351144998
7,01611270130450,94706.0,81746,104566,Alameda,,Albany High,Unified School District,High Schools (Public),9,12,1195.0,1195.0,166.0,0.138912133891213,232.0,0.194142259414226,572.0,599.0,574.0,0.138912133891213,0.055230125523012985,0.805857740585774
8,01611430122697,94710.0,60952,80071,Alameda,,REALM Charter High,Unified School District,High Schools (Public),9,12,361.0,361.0,223.0,0.617728531855956,267.0,0.739612188365651,384.0,360.0,386.0,0.617728531855956,0.12188365650969502,0.260387811634349
9,01611430131177,94704.0,30997,54872,Alameda,,Berkeley High,Unified School District,High Schools (Public),9,12,3182.0,3182.0,804.0,0.25267127592709,934.0,0.293526084223759,583.0,580.0,574.0,0.25267127592709,0.04085480829666899,0.706473915776241
