"CDSCode","NCESDist","NCESSchool","StatusType","County","Distrinct","School","Street","StreetAbr","City","Zip","State","MailStreet","MailStrAbr","MailCity","MailZip","MailState","Phone","Ext","Website","OpenDate","ClosedDate","Charter","CharterNum","FundingType","DOC","DOCType","SOC","SOCType","EdOpsCode","EdOpsName","EILCode","EILName","GSoffered","GSserved","Virtual","Magnet","Latitude","Longitude","AdmFName1","AdmLName1","AdmEmail1","AdmFName2","AdmLName2","AdmEmail2","AdmFName3","AdmLName3","AdmEmail3","LastUpdate","district"
"01100170000000","0691051","",Active,Alameda,,"","313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,(510) 887-0152,"",www.acoe.org,,,,"","","00",County Office of Education (COE),"","","","","","","","","",,37.658212,-122.09713,L Karen,Monroe,lkmonroe@acoe.org,"","","","","","",2015-06-23,Alameda County Office of Education
"01100170109835","0691051","10546",Closed,Alameda,,FAME Public Charter,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,"94560-5359",CA,"39899 Balentine Drive, Suite 335","39899 Balentine Dr., Ste. 335",Newark,"94560-5359",CA,"","","",2005-08-29,2015-07-31,1,"0728",Directly funded,"00",County Office of Education (COE),"65",K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0,37.521436,-121.99391,"","","","","","","","","",2015-09-01,Alameda County Office of Education
"01100170112607","0691051","10947",Active,Alameda,,Envision Academy for Arts & Technology,"1515 Webster Street","1515 Webster St.",Oakland,"94612-3355",CA,"1515 Webster Street","1515 Webster St.",Oakland,"94612",CA,(510) 596-8901,"",www.envisionacademy.org/,2006-08-28,,1,"0811",Directly funded,"00",County Office of Education (COE),"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,37.80452,-122.26815,Laura,Robell,laura@envisionacademy.org,"","","","","","",2015-06-18,Alameda County Office of Education
"01100170118489","0691051","12283",Closed,Alameda,,Aspire California College Preparatory Academy,"2125 Jefferson Avenue","2125 Jefferson Ave.",Berkeley,"94703-1414",CA,"1001 22nd Avenue, Suite 100","1001 22nd Ave., Ste. 100",Oakland,"94606",CA,"","",www.aspirepublicschools.org,2008-08-21,2015-06-30,1,"1049",Directly funded,"00",County Office of Education (COE),"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,37.868991,-122.27844,"","","","","","","","","",2015-07-01,Alameda County Office of Education
"01100170123968","0691051","12844",Active,Alameda,,Community School for Creative Education,"2111 International Boulevard","2111 International Blvd.",Oakland,"94606-4903",CA,"2111 International Boulevard","2111 International Blvd.",Oakland,"94606-4903",CA,(510) 686-4131,"",www.communityschoolforcreativeeducation.org,2011-08-22,,1,"1284",Directly funded,"00",County Office of Education (COE),"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,0,37.784648,-122.23863,Clifford,Thompson,cliffordt@communityschoolforcreativeeducation.org,"","","","","","",2016-07-18,Alameda County Office of Education
"01100170124172","0691051","12901",Active,Alameda,,Yu Ming Charter,"1086 Alcatraz Avenue","1086 Alcatraz Ave.",Oakland,"94608-1265",CA,"1086 Alcatraz Avenue","1086 Alcatraz Ave.",Oakland,"94608-1265",CA,(510) 452-2063,"",www.yumingschool.org,2011-08-09,,1,"1296",Directly funded,"00",County Office of Education (COE),"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,N,0,37.847375,-122.28356,Sue,Park,spark@yumingschool.org,"","","","","","",2016-05-10,Alameda County Office of Education
"01100170125567","0691051","13008",Active,Alameda,,Urban Montessori Charter,"5328 Brann Street","5328 Brann St.",Oakland,"94619-3312",CA,"5328 Brann Street","5328 Brann St.",Oakland,"94619-3312",CA,(510) 842-1181,"",www.urbanmontessori.org,2012-08-27,,1,"1383",Directly funded,"00",County Office of Education (COE),"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,N,0,37.778352,-122.1895,David,Castillo,davidc@urbanmontessori.org,"","","","","","",2015-10-09,Alameda County Office of Education
"01100170130302","0691051","",Closed,Alameda,,"Technical, Agricultural & Nat.","597 C Street","597 C St.",Hayward,"94541",CA,"597 C Street","597 C St.",Hayward,"94541",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100170130401","0691051","09264",Active,Alameda,,Alameda County Juvenile Hall/Court,"2500 Fairmont Avenue","2500 Fairmont Ave.",San Leandro,"94578-1005",CA,"2500 Fairmont Avenue","2500 Fairmont Ave.",San Leandro,"94578-1005",CA,(510) 667-7435,"",www.acoe.org,1980-07-01,,0,"","","00",County Office of Education (COE),"14",Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,"8-12",N,0,37.712878,-122.11173,Michael,Hermosillo,mhermosillo@acoe.org,"","","","","","",2016-05-10,Alameda County Office of Education
"01100170130419","0691051","06830",Active,Alameda,,Alameda County Community,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,(510) 670-4590,"",www.acoe.org,1980-07-01,,0,"","","00",County Office of Education (COE),"10",County Community,COMM,County Community School,HS,High School,K-12,"7-12",P,0,37.658212,-122.09713,Carolyn,Hobbs,chobbs@acoe.org,"","","","","","",2016-10-06,Alameda County Office of Education
"01100170130427","0691051","09265",Closed,Alameda,,Alameda County Opportunity,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,"313 West Winton Avenue","313 West Winton Ave.",Hayward,"94544-1136",CA,"","",www.acoe.org,1980-07-01,2013-06-30,0,"","","00",County Office of Education (COE),"13",Opportunity Schools,OPP,Opportunity School,HS,High School,"7-12","8-12","",,37.658212,-122.09713,"","","","","","","","","",2014-04-28,Alameda County Office of Education
"01100170131276","0691051","",Closed,Alameda,,Berkeley Trade & Tech. College,"","","","","","","","","","","","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"66",High Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100170131581","0691051","13887",Active,Alameda,,Oakland Unity Middle,"7200 Bancroft Avenue # 261","7200 Bancroft Ave. # 261",Oakland,"94605-2403",CA,"6038 Brann Street","6038 Brann St.",Oakland,"94605-1544",CA,(510) 969-5302,"",www.unitymiddle.org,2015-08-23,,1,"1707",Directly funded,"00",County Office of Education (COE),"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-7",N,0,37.767642,-122.1777,Damon,Grant,dgrant@unitymiddle.org,Sau-Lim (Lance),Tsang,stsang@unityhigh.org,"","","",2016-08-17,Alameda County Office of Education
"01100170131912","0691051","",Closed,Alameda,,Canyon Valley Adult School,"","","","","","","","","","","","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"70",Adult Education Centers,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100170136853","0691051","",Closed,Alameda,,Roosevelt High (Defunct),"","","","","","","","","","","","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"66",High Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100170138412","0691051","",Closed,Alameda,,University High School (Defunc,"","","","","","","","","","","","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"66",High Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100170138644","0691051","",Closed,Alameda,,Washington Evening High (Defun,"","","","","","","","","","","","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"70",Adult Education Centers,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176001788","0691051","04257",Active,Alameda,,Cox Academy,"9860 Sunnyside Street","9860 Sunnyside St.",Oakland,"94603-2750",CA,"9860 Sunnyside Street","9860 Sunnyside St.",Oakland,"94603-2750",CA,(510) 904-6300,"",www.efcps.org,1980-07-01,,1,"0740",Directly funded,"00",County Office of Education (COE),"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,0,37.746513,-122.16182,Kevin,King,kking@efcps.net,"","","","","","",2016-08-23,Alameda County Office of Education
"01316170000000","0600003","",Active,Alameda,,"","39350 Gallaudet Drive","39350 Gallaudet Dr.",Fremont,"94538-2308",CA,"39350 Gallaudet Drive","39350 Gallaudet Dr.",Fremont,"94538-2308",CA,(510) 794-3666,"",www.csdeagles.com,,,,"","","31",State Special Schools,"","","","","","","","","",,37.558956,-121.96551,Scott,Kerby,skerby@cde.ca.gov,"","","","","","",2016-08-31,California School for the Deaf-Fremont (State Special Schl)
"01100176002000","0691051","04288",Active,Alameda,,Lazear Charter Academy,"824 29th Avenue","824 29th Ave.",Oakland,"94601-2205",CA,"824 29th Avenue","824 29th Ave.",Oakland,"94601-2205",CA,(510) 689-2018,"",www.efcps.org,1980-07-01,,1,"1464",Directly funded,"00",County Office of Education (COE),"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,37.776239,-122.23207,Sarah,Morrill,smorrill@efcps.net,Jennifer,Koelling,jkoelling@efcps.net,"","","",2016-08-23,Alameda County Office of Education
"01100176002729","0691051","",Closed,Alameda,,Chabot Ranch,"2500 Fairmont Drive","2500 Fairmont Dr.",San Leandro,"94578",CA,"2500 Fairmont Drive","2500 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1989-06-30,0,"","","00",County Office of Education (COE),"10",County Community,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
"01100176002737","0691051","",Merged,Alameda,,Juvenile Court Schools,"2400 Fairmont Drive","2400 Fairmont Dr.",San Leandro,"94578",CA,"2400 Fairmont Drive","2400 Fairmont Dr.",San Leandro,"94578",CA,"","","",1980-07-01,1987-06-22,0,"","","00",County Office of Education (COE),"14",Juvenile Court Schools,"","",ELEMHIGH,Elementary-High Combination,"5-12","","",,,,"","","","","","","","","",1999-06-24,Alameda County Office of Education
